Size (B)	Iterations	Total_time (s)	Time (s/msg)	Band (MB/s)
32768		1000000		8.313			8.313e-06		620.260
25206		1000000		6.681			6.681e-06		1065.130
19389		1000000		5.910			5.910e-06		712.968
14914		1000000		4.742			4.742e-06		816.094
11472		1000000		4.315			4.315e-06		1273.942
8824		1000000		3.020			3.020e-06		147.840
6787		1000000		2.496			2.496e-06		1904.654
5220		1000000		2.109			2.109e-06		836.557
4015		1000000		1.721			1.721e-06		4450.491
3088		1000000		1.547			1.547e-06		3807.172
2375		1000000		1.317			1.317e-06		3440.410
1826		1000000		1.199			1.199e-06		2904.523
1404		1000000		1.078			1.078e-06		2484.850
1080		1000000		1.014			1.014e-06		2031.818
830			1000000		0.911			9.113e-07		1737.180
638			1000000		0.855			8.555e-07		1422.506
490			1000000		0.787			7.867e-07		1188.000
376			1000000		0.758			7.582e-07		945.856
289			1000000		0.723			7.232e-07		762.201
222			1000000		0.700			7.005e-07		604.496
170			1000000		0.682			6.817e-07		475.668
130			1000000		0.687			6.867e-07		361.090
100			1000000		0.654			6.544e-07		291.463
76			1000000		0.754			7.544e-07		192.153
58			1000000		0.684			6.839e-07		161.749
44			1000000		0.657			6.572e-07		127.702
33			1000000		0.647			6.473e-07		97.238
25			1000000		0.672			6.719e-07		70.969
19			1000000		0.690			6.904e-07		52.492
14			1000000		0.635			6.346e-07		42.076
10			1000000		0.631			6.315e-07		30.204
7			1000000		0.625			6.253e-07		21.351
5			1000000		0.658			6.583e-07		14.487
3			1000000		0.592			5.921e-07		9.665
2			1000000		0.606			6.055e-07		6.300
1			1000000		0.607			6.075e-07		3.140
FINAL 0		1000000		0.576			5.764e-07		0
