Size (B)	Iterations	Total_time (s)	Time (s/msg)	Band (MB/s)
32768		1000000		8.452			4.226e-06		610.044
25206		1000000		7.068			3.534e-06		1006.898
19389		1000000		5.977			2.989e-06		704.922
14914		1000000		4.602			2.301e-06		841.063
11472		1000000		4.008			2.004e-06		1371.664
8824		1000000		3.148			1.574e-06		141.831
6787		1000000		2.513			1.256e-06		1891.758
5220		1000000		2.067			1.033e-06		853.631
4015		1000000		1.764			8.820e-07		4341.351
3088		1000000		1.557			7.786e-07		3782.373
2375		1000000		1.393			6.966e-07		3251.438
1826		1000000		1.178			5.890e-07		2956.783
1404		1000000		1.048			5.241e-07		2554.816
1080		1000000		0.981			4.907e-07		2099.103
830			1000000		0.924			4.622e-07		1712.551
638			1000000		0.876			4.379e-07		1389.417
490			1000000		0.792			3.961e-07		1179.694
376			1000000		0.789			3.944e-07		909.218
289			1000000		0.746			3.731e-07		738.792
222			1000000		0.932			4.660e-07		454.285
170			1000000		0.712			3.558e-07		455.698
130			1000000		0.837			4.183e-07		296.349
100			1000000		0.712			3.560e-07		267.894
76			1000000		0.695			3.475e-07		208.573
58			1000000		0.657			3.283e-07		168.476
44			1000000		0.640			3.198e-07		131.218
33			1000000		0.658			3.292e-07		95.585
25			1000000		0.668			3.338e-07		71.433
19			1000000		0.653			3.265e-07		55.504
14			1000000		0.703			3.517e-07		37.964
10			1000000		0.694			3.468e-07		27.495
7			1000000		0.625			3.126e-07		21.355
5			1000000		0.629			3.144e-07		15.166
3			1000000		0.635			3.176e-07		9.007
2			1000000		0.644			3.221e-07		5.922
1			1000000		0.659			3.293e-07		2.896
FINAL 0		1000000		0.591			2.953e-07		0
